#
# Unicode mapping table for font Solarize.12x29.psf
#
0x000	U+fffd
0x1d8	U+0448
0x1d9	U+0449
0x1da	U+044a
0x1db	U+044b
0x1dc	U+044c
0x1dd	U+044d
0x1de	U+044e
0x1df	U+044f
0x1e0	U+0452
0x1e1	U+0453
0x1e2	U+0454
0x1e3	U+0459
0x1e4	U+045a
0x1e5	U+045b
0x1e6	U+045c
0x1e7	U+045d
0x1e8	U+045e
0x1e9	U+045f
0x1ea	U+048a
0x1eb	U+048b
0x1ec	U+048c
0x1ed	U+048d
0x1ee	U+048e
0x1ef	U+048f
0x1f0	U+0490
0x1f1	U+0491
0x1f2	U+04ba
0x1f3	U+04bb
0x1f4	U+04c1
0x1f5	U+04c2
0x1f6	U+04c5
0x1f7	U+04c6
0x1f8	U+04c7
0x1f9	U+04c8
0x1fa	U+04c9
0x1fb	U+04ca
0x1fc	U+04cd
0x1fd	U+04ce
0x1fe	U+04ec
0x1ff	U+04ed
